title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Drip,Basic hydration IV drip,Hydration treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Hydration,80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Calm Drip,Calm and relaxation IV drip,Stress relief treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Stress Relief,480,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Liver Detox Drip,Liver detoxification IV drip,Liver health treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Liver Detox,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Slimming Drip,Weight loss and slimming IV drip,Slimming treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Weight Loss,350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Skin Health Drip,Skin health and rejuvenation IV drip,Skin treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Skin Rejuvenation,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Body Reset Energy Booster & Recovery,Energy boosting and recovery IV drip,Energy and recovery treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Energy Boost,Recovery",380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Essential Multivi & Elderly,Multivitamin and elderly care IV drip,Multivitamin treatment for elderly at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Multivitamin,Elderly Care",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
NAD+ Drip,NAD+ IV drip for anti-aging and restoration,NAD+ treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Anti-Aging,Restoration",1200,1800,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Peak Performance All Inclusive Vitamin,Comprehensive vitamin performance IV drip,Peak performance vitamin treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Vitamin Boost,Performance",1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
"Exosome, Anti-Aging & Restore",Exosome and anti-aging restoration IV drip,Advanced anti-aging treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Exosome,Anti-Aging,Restoration",1500,3500,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
High Dose Vitamin C Premium & Restore,High dose vitamin C restoration IV drip,Premium vitamin C treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,"Vitamin C,Restoration",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Herpes Fighter Drip,IV drip for herpes treatment,Herpes management treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Herpes Treatment,400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
HPV Fighter Drip,IV drip for HPV treatment,HPV management treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,HPV Treatment,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
Protection+ Drip,Protective IV drip treatment,Comprehensive protection treatment at CarePlus Clinic,CarePlus Clinic,IV Therapy,Immune Boost,,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drip,Malaysia,,,,
