title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Drip,Hydration drip for basic wellness,,CarePlus Clinic,IV Therapy,Hydration,80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Calm Drip,Drip for relaxation and stress relief,,CarePlus Clinic,IV Therapy,Stress Relief,480,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Liver Detox Drip,IV drip focused on liver detoxification,,CarePlus Clinic,IV Therapy,"Detox,Liver Health",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Slimming Drip,IV drip for weight management and metabolism support,,CarePlus Clinic,IV Therapy,"Weight Loss,Metabolism",350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Skin Health Drip,IV drip for skin wellness and rejuvenation,,CarePlus Clinic,IV Therapy,"Skin Rejuvenation,Beauty",280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Body Reset Drip,IV drip for overall body reset and wellness,,CarePlus Clinic,IV Therapy,"Wellness,Detox",380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Energy Booster & Recovery Drip,IV drip for energy enhancement and recovery,,CarePlus Clinic,IV Therapy,"Energy,Recovery",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Essential Multivi & Elderly Drip,Multivitamin IV drip for elderly wellness,,CarePlus Clinic,IV Therapy,"Multivitamin,Elderly Care",,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
NAD+ Drip,NAD+ IV therapy for cellular health and anti-aging,,CarePlus Clinic,IV Therapy,"Anti-Aging,Cellular Health",1200,1800,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Peak Performance Drip,IV drip for peak physical and mental performance,,CarePlus Clinic,IV Therapy,"Performance,Wellness",1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
All Inclusive Vitamin Drip,Comprehensive vitamin IV therapy,,CarePlus Clinic,IV Therapy,"Vitamin Therapy,Wellness",1500,3500,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
"Exosome, Anti-Aging & Restore Drip",Advanced IV therapy for anti-aging and cellular restoration,,CarePlus Clinic,IV Therapy,"Anti-Aging,Cellular Restoration",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
High Dose Vitamin C Premium & Restore Drip,High-dose Vitamin C IV therapy for restoration and wellness,,CarePlus Clinic,IV Therapy,"Vitamin C,Restoration",,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Herpes Fighter Drip,IV drip targeting herpes management,,CarePlus Clinic,IV Therapy,Herpes Treatment,400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
HPV Fighter Drip,IV drip targeting HPV management,,CarePlus Clinic,IV Therapy,HPV Treatment,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
Protection+ Drip,Protective IV drip for overall health support,,CarePlus Clinic,IV Therapy,Immune Support,,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong | Sg. Buloh,IV Drips,Malaysia,,,,
