title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Drip,Basic hydration IV drip,,CarePlus Clinic,IV Therapy,Hydration,80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Calm Drip,Calm and relaxation IV drip,,CarePlus Clinic,IV Therapy,Stress Relief,480,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Liver Detox Drip,IV drip for liver detoxification,,CarePlus Clinic,IV Therapy,Detox,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Slimming Drip,IV drip for weight loss support,,CarePlus Clinic,IV Therapy,Weight Loss,350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Skin Health Drip,IV drip for skin health and rejuvenation,,CarePlus Clinic,IV Therapy,Skin Rejuvenation,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Body Reset Drip,IV drip for body reset and rejuvenation,,CarePlus Clinic,IV Therapy,Body Rejuvenation,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Energy Booster & Recovery Drip,IV drip for energy boost and recovery,,CarePlus Clinic,IV Therapy,"Energy Boost,Recovery",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Essential Multivi & Elderly Drip,IV drip for essential multivitamins and elderly care,,CarePlus Clinic,IV Therapy,"Multivitamin,Elderly Care",,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
NAD+ Drip,NAD+ IV drip,,CarePlus Clinic,IV Therapy,Anti-Aging,1200,1800,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Peak Performance Drip,IV drip for peak performance,,CarePlus Clinic,IV Therapy,Performance Enhancement,1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
All Inclusive Vitamin Drip,Comprehensive vitamin IV drip,,CarePlus Clinic,IV Therapy,Vitamin Boost,1500,3500,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
"Exosome, Anti-Aging & Restore Drip","IV drip for exosome therapy, anti-aging, and restoration",,CarePlus Clinic,IV Therapy,"Anti-Aging,Restoration",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
High Dose Vitamin C Premium & Restore Drip,High dose vitamin C IV drip for premium restoration,,CarePlus Clinic,IV Therapy,"Vitamin C,Restoration",,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Herpes Fighter Drip,IV drip for herpes treatment,,CarePlus Clinic,IV Therapy,Herpes Treatment,400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
HPV Fighter Drip,IV drip for HPV treatment,,CarePlus Clinic,IV Therapy,HPV Treatment,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Protection+ Drip,Protective IV drip,,CarePlus Clinic,IV Therapy,Immune Support,,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
