title,description,details,hospital_name,treatment_name,Sub Treatments,price,original_price,currency,duration,treatment_category,anaesthesia,commission,featured,status,doctor_name,is_le_package,includes,image_file_id,hospital_location,category,hospital_country,translation_title,translation_description,translation_details,translation
Basic Hydration Drip,Basic hydration treatment,,CarePlus Clinic,IV Therapy,Hydration,80,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Calm Drip,Stress relief and relaxation drip,,CarePlus Clinic,IV Therapy,Stress Relief,480,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Liver Detox Drip,Liver detoxification treatment,,CarePlus Clinic,IV Therapy,Detox,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Slimming Drip,Weight loss and metabolism support drip,,CarePlus Clinic,IV Therapy,Weight Loss,350,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Skin Health Drip,Skin rejuvenation and health support drip,,CarePlus Clinic,IV Therapy,Skin Rejuvenation,280,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Body Reset Drip,Full body reset and rejuvenation drip,,CarePlus Clinic,IV Therapy,Body Rejuvenation,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Energy Booster & Recovery Drip,Energy enhancement and recovery support drip,,CarePlus Clinic,IV Therapy,"Energy Boost,Recovery",250,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Essential Multivi & Elderly Drip,Multivitamin and elderly support drip,,CarePlus Clinic,IV Therapy,"Multivitamin,Elderly Care",1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
NAD+ Drip,NAD+ therapy drip,,CarePlus Clinic,IV Therapy,Anti-Aging,1800,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Peak Performance Drip,Performance enhancement drip,,CarePlus Clinic,IV Therapy,Performance Boost,1200,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
All Inclusive Vitamin Drip,Comprehensive vitamin therapy drip,,CarePlus Clinic,IV Therapy,Vitamin Therapy,1500,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
"Exosome, Anti-Aging & Restore Drip",Advanced anti-aging and restoration drip,,CarePlus Clinic,IV Therapy,"Anti-Aging,Restoration",3500,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
High Dose Vitamin C Premium & Restore Drip,High-dose vitamin C therapy for restoration,,CarePlus Clinic,IV Therapy,"Vitamin C Therapy,Restoration",950,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Herpes Fighter Drip,Drip targeting herpes treatment,,CarePlus Clinic,IV Therapy,Herpes Treatment,400,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
HPV Fighter Drip,Drip targeting HPV treatment,,CarePlus Clinic,IV Therapy,HPV Treatment,380,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
Protection+ Drip,Comprehensive protection drip,,CarePlus Clinic,IV Therapy,Immune Support,,,MYR,,Wellness,,,FALSE,active,,FALSE,IV Drip,,Kepong,IV Drips,Malaysia,,,,
